Judul,Tanggal,Link,Isi Berita
Gatot Akui Peluangnya Jadi Capres-Cawapres Kecil,"Selasa, 24 Jul 2018 17:11 WIB",https://www.cnnindonesia.com/nasional/20180724164148-32-316646/gatot-akui-peluangnya-jadi-capres-cawapres-kecil,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Jokowi Bakal Kerek Anggaran Bantuan PKH Jadi Rp31 T di 2019,"Selasa, 24 Jul 2018 16:54 WIB",https://www.cnnindonesia.com/ekonomi/20180724160523-92-316629/jokowi-bakal-kerek-anggaran-bantuan-pkh-jadi-rp31-t-di-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Kapitra: Kalau Jokowi Lawan Rizieq, Saya Pilih Rizieq","Selasa, 24 Jul 2018 16:35 WIB",https://www.cnnindonesia.com/nasional/20180724162425-32-316631/kapitra-kalau-jokowi-lawan-rizieq-saya-pilih-rizieq,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
JK soal Gugatan Cawapres di MK: Ambisi Saya Istirahat,"Selasa, 24 Jul 2018 16:29 WIB",https://www.cnnindonesia.com/nasional/20180724160406-32-316627/jk-soal-gugatan-cawapres-di-mk-ambisi-saya-istirahat,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Sekjen PPP Sebut Jokowi Umumkan Cawapres 9 atau 10 Agustus,"Selasa, 24 Jul 2018 15:49 WIB",https://www.cnnindonesia.com/nasional/20180724132619-32-316554/sekjen-ppp-sebut-jokowi-umumkan-cawapres-9-atau-10-agustus,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Kapitra Ampera:Please, Call MeCebong","Selasa, 24 Jul 2018 14:53 WIB",https://www.cnnindonesia.com/nasional/20180724144218-32-316587/kapitra-ampera-please-call-me-cebong,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"OSO: Cawapres di Tangan Jokowi, Koalisi 'Nonton Bola Saja'","Selasa, 24 Jul 2018 14:40 WIB",https://www.cnnindonesia.com/nasional/20180724140530-32-316563/oso-cawapres-di-tangan-jokowi-koalisi-nonton-bola-saja,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Tabir Rahasia Cawapres Jokowi,"Selasa, 24 Jul 2018 14:18 WIB",https://www.cnnindonesia.com/nasional/20180724105002-33-316545/tabir-rahasia-cawapres-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Cerita Anies Digandeng Prabowo saat Masih di Lingkaran Jokowi,"Selasa, 24 Jul 2018 12:19 WIB",https://www.cnnindonesia.com/nasional/20180724115134-32-316525/cerita-anies-digandeng-prabowo-saat-masih-di-lingkaran-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Progres 74 Persen, Monumen Kapsul Waktu Rampung Oktober","Selasa, 24 Jul 2018 12:19 WIB",https://www.cnnindonesia.com/ekonomi/20180724121217-92-316534/progres-74-persen-monumen-kapsul-waktu-rampung-oktober,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
