Judul,Tanggal,Link,Isi Berita
Prabowo Takluk Dari Jokowi Dalam Hitung Suara di Vietnam,"Rabu, 17 Apr 2019 20:37 WIB",https://www.cnnindonesia.com/internasional/20190417202745-106-387412/prabowo-takluk-dari-jokowi-dalam-hitung-suara-di-vietnam,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Prabowo: Hasil Real Count Kita Menang 62 Persen,"Rabu, 17 Apr 2019 20:35 WIB",https://www.cnnindonesia.com/nasional/20190417202718-32-387410/prabowo-hasil-real-count-kita-menang-62-persen,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Jokowi-Ma'ruf Amin Unggul Dalam Hitung Suara di Timor Leste,"Rabu, 17 Apr 2019 20:18 WIB",https://www.cnnindonesia.com/internasional/20190417200715-106-387404/jokowi-maruf-amin-unggul-dalam-hitung-suara-di-timor-leste,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Prabowo Menangkan Pemungutan Suara di 'Markas ISIS',"Rabu, 17 Apr 2019 20:04 WIB",https://www.cnnindonesia.com/internasional/20190417195540-120-387397/prabowo-menangkan-pemungutan-suara-di-markas-isis,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
PA 212 Kerahkan Massa Sujud Syukur Usai Jumatan di Istiqlal,"Rabu, 17 Apr 2019 19:54 WIB",https://www.cnnindonesia.com/nasional/20190417192027-32-387393/pa-212-kerahkan-massa-sujud-syukur-usai-jumatan-di-istiqlal,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Pesta Kemenangan, Pendukung Jokowi Tak Peduli Klaim Prabowo","Rabu, 17 Apr 2019 19:47 WIB",https://www.cnnindonesia.com/nasional/20190417193136-32-387388/pesta-kemenangan-pendukung-jokowi-tak-peduli-klaim-prabowo,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Ragam Tudingan Prabowo Usai Kalah Quick Count Pilpres 2019,"Rabu, 17 Apr 2019 19:26 WIB",https://www.cnnindonesia.com/nasional/20190417190637-32-387384/ragam-tudingan-prabowo-usai-kalah-quick-count-pilpres-2019,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Megawati Puji Pidato 'Kemenangan' Prabowo soal Quick Count,"Rabu, 17 Apr 2019 19:18 WIB",https://www.cnnindonesia.com/nasional/20190417185730-32-387381/megawati-puji-pidato-kemenangan-prabowo-soal-quick-count,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Hidayat Nur Wahid: Jangan Sampai Suara Diambil Genderuwo,"Rabu, 17 Apr 2019 19:15 WIB",https://www.cnnindonesia.com/nasional/20190417183817-32-387379/hidayat-nur-wahid-jangan-sampai-suara-diambil-genderuwo,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"Quick Count Puskaptis: Jokowi Unggul 0,44 Persen dari Prabowo","Rabu, 17 Apr 2019 19:04 WIB",https://www.cnnindonesia.com/nasional/20190417183817-32-387375/quick-count-puskaptis-jokowi-unggul-044-persen-dari-prabowo,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Prabowo-Sandi Menang Telak di Rutan Kebonwaru Bandung,"Rabu, 17 Apr 2019 18:57 WIB",https://www.cnnindonesia.com/nasional/20190417184443-32-387374/prabowo-sandi-menang-telak-di-rutan-kebonwaru-bandung,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Hasil Quick Count 5 Lembaga di Atas 75 Persen: Jokowi Unggul,"Rabu, 17 Apr 2019 18:50 WIB",https://www.cnnindonesia.com/nasional/20190417183337-32-387372/hasil-quick-count-5-lembaga-di-atas-75-persen-jokowi-unggul,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
CSIS: Beban Mandat Jokowi Lebih Besar Dibanding Pilpres Lalu,"Rabu, 17 Apr 2019 18:45 WIB",https://www.cnnindonesia.com/nasional/20190417180906-32-387370/csis-beban-mandat-jokowi-lebih-besar-dibanding-pilpres-lalu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Litbang Kompas Klaim Hitung Cepat Cerminkan Kondisi Riil,"Rabu, 17 Apr 2019 18:40 WIB",https://www.cnnindonesia.com/nasional/20190417182550-32-387369/litbang-kompas-klaim-hitung-cepat-cerminkan-kondisi-riil,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Narasi Baru dari Kertanegara: Jangan Percaya Quick Count,"Rabu, 17 Apr 2019 18:33 WIB",https://www.cnnindonesia.com/nasional/20190417175125-32-387343/narasi-baru-dari-kertanegara-jangan-percaya-quick-count,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Kubu Jokowi Tak Khawatir Klaim Prabowo: 2014 juga Begitu,"Rabu, 17 Apr 2019 18:27 WIB",https://www.cnnindonesia.com/nasional/20190417181224-32-387353/kubu-jokowi-tak-khawatir-klaim-prabowo-2014-juga-begitu,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Polri Sebut Penyebar Video Foto Jokowi Ada di Malaysia,"Rabu, 17 Apr 2019 18:27 WIB",https://www.cnnindonesia.com/nasional/20190417181754-12-387354/polri-sebut-penyebar-video-foto-jokowi-ada-di-malaysia,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Senyum Tipis 'Kemenangan' Jokowi di Djakarta Theater,"Rabu, 17 Apr 2019 18:17 WIB",https://www.cnnindonesia.com/nasional/20190417180325-32-387350/senyum-tipis-kemenangan-jokowi-di-djakarta-theater,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Beda Sikap Jokowi dan Prabowo soal Hasil Quick Count Pilpres,"Rabu, 17 Apr 2019 18:13 WIB",https://www.cnnindonesia.com/nasional/20190417175002-32-387346/beda-sikap-jokowi-dan-prabowo-soal-hasil-quick-count-pilpres,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Riuh Relawan Prabowo usai Pidato 'Klaim' Kemenangan,"Rabu, 17 Apr 2019 18:08 WIB",https://www.cnnindonesia.com/nasional/20190417180248-32-387347/riuh-relawan-prabowo-usai-pidato-klaim-kemenangan,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
