Judul,Tanggal,Link,Isi Berita
SBY-Zulhas Klaim Tak Bahas Cawapres dan 'Power Sharing',"Rabu, 25 Jul 2018 21:40 WIB",https://www.cnnindonesia.com/nasional/20180725212311-32-317028/sby-zulhas-klaim-tak-bahas-cawapres-dan-power-sharing,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Kedubes AS: Prabowo dan Soeharto Terlibat Penculikan Aktivis,"Rabu, 25 Jul 2018 20:57 WIB",https://www.cnnindonesia.com/nasional/20180725203102-32-317018/kedubes-as-prabowo-dan-soeharto-terlibat-penculikan-aktivis,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Ketua PAN Zulkifli Hasan Tiba di Kediaman SBY,"Rabu, 25 Jul 2018 20:14 WIB",https://www.cnnindonesia.com/nasional/20180725195811-32-317011/ketua-pan-zulkifli-hasan-tiba-di-kediaman-sby,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Zulhas Akui Bakal Bahas Cawapres saat Bertemu SBY,"Rabu, 25 Jul 2018 19:24 WIB",https://www.cnnindonesia.com/nasional/20180725185435-32-316992/zulhas-akui-bakal-bahas-cawapres-saat-bertemu-sby,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Istana: Ketimpangan di Era SBY Lebih Tinggi dari Jokowi,"Rabu, 25 Jul 2018 19:19 WIB",https://www.cnnindonesia.com/ekonomi/20180725183639-532-316964/istana-ketimpangan-di-era-sby-lebih-tinggi-dari-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
PAN Tentukan Arah Koalisi Setelah Rakernas,"Rabu, 25 Jul 2018 18:39 WIB",https://www.cnnindonesia.com/nasional/20180725182633-32-316962/pan-tentukan-arah-koalisi-setelah-rakernas,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Dokumen Ungkap Clinton Tahu Penculikan Aktivis Era Soeharto,"Rabu, 25 Jul 2018 18:10 WIB",https://www.cnnindonesia.com/internasional/20180725174155-134-316954/dokumen-ungkap-clinton-tahu-penculikan-aktivis-era-soeharto,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Kader PDIP Sebut Demokrat Partai Menengah Ekspektasi Tinggi,"Rabu, 25 Jul 2018 17:47 WIB",https://www.cnnindonesia.com/nasional/20180725164132-32-316942/kader-pdip-sebut-demokrat-partai-menengah-ekspektasi-tinggi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
Fahri Klaim Gerakan Anti-Jokowi Makin Menguat,"Rabu, 25 Jul 2018 17:29 WIB",https://www.cnnindonesia.com/nasional/20180725162810-32-316922/fahri-klaim-gerakan-anti-jokowi-makin-menguat,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
"SBY Merapat, Fadli Zon Yakin Kubu Prabowo Kalahkan Jokowi","Rabu, 25 Jul 2018 16:37 WIB",https://www.cnnindonesia.com/nasional/20180725144921-32-316877/sby-merapat-fadli-zon-yakin-kubu-prabowo-kalahkan-jokowi,ADVERTISEMENT SCROLL TO CONTINUE WITH CONTENT
